MMM,3M
ABT,Abbott Laboratories
AA,Alcoa
AYE,Allegheny Energy
ALL,Allstate
MO,Altria Group
AEP,American Electric Power
ADM,Archer Daniels Midland
BA,Boeing
BMY,Bristol-Myers Squibb
BNI,Burlington Northern Santa Fe
CPB,Campbell Soup
CAT,Caterpillar
CVX,Chevron
CMS,CMS Energy
KO,Coca-Cola
CL,Colgate-Palmolive
COP,ConocoPhillips
ED,Consolidated Edison
CEG,Constellation Energy
CBW,Cooper Industries
CSX,CSX
CVS,CVS
DE,Deere
DOW,Dow Chemical
DTE,DTE Energy
DD,Du Pont
DYN,Dynegy
EK,Eastman Kodak
ETN,Eaton
EIX,Edison International
ETR,Entergy
EXC,Exelon
XOM,Exxon Mobil
F,Ford Motor
FO,Fortune Brands
GD,General Dynamics
GE,General Electric
GIS,General Mills
GM,General Motors
GR,Goodrich
GT,Goodyear Tire & Rubber
HAL,Halliburton
HIG,Hartford Financial Services
HNZ,Heinz
HPC,Hercules
HSY,Hershey
HON,Honeywell International
IR,Ingersoll-Rand
IBM,IBM
IP,International Paper
KMB,Kimberly-Clark
KR,Kroger
LMT,Lockheed Martin
MRO,Marathon Oil
MHP,McGraw-Hill Cos.
MWV,MeadWestvaco
MRK,Merck
MOT,Motorola
NSC,Norfolk Southern
NOC,Northrop Grumman
OXY,Occidental Petroleum
JCP,Penney
PEP,PepsiCo
PFE,Pfizer
PCG,PG&E
PD,Phelps Dodge
PBI,Pitney Bowes
PPG,PPG Industries
PG,Procter & Gamble
PGN,Progress Energy
PSE,PSEG
DGX,Quest Diagnostics
RTN,Raytheon
COL,Rockwell Collins
SGP,Schering-Plough
SLB,Schlumberger
SEE,Sealed Air
SO,Southern Co.
TXU,TXU
UNP,Union Pacific
UIS,Unisys
UTX,United Technologies
WWY,Wrigley
WYE,Wyeth
XEL,Xcel Energy 
